section,heading,xpath,auth_file,auth_section,auth_col,separator,comment
metadata,provenance UID,"//tei:provenance/concat(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""], ""_prov_"", count(preceding::tei:provenance) + 1)",,,,,
metadata,file URL,"//tei:provenance/string-join(ancestor::tei:TEI/@xml:id, "" "")",,,,,
metadata,collection,"//tei:provenance/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""collection""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,
metadata,msID,"//tei:provenance/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:publicationStmt/tei:idno[@type=""msID""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,
metadata,shelfmark,"//tei:provenance/string-join(ancestor::tei:TEI/tei:teiHeader/tei:fileDesc/tei:sourceDesc/tei:msDesc/tei:msIdentifier/tei:idno[@type=""shelfmark""][not(@subtype=""alt"")]/string-join(.,""""), "" "")",,,,,
metadata,part,"//tei:provenance/string-join((ancestor::tei:msPart//tei:idno[@type=""part""][not(@subtype=""alt"")]|ancestor::tei:msDesc/tei:msIdentifier/tei:idno[@type=""part""][not(@subtype=""alt"")])[1]/string-join(.,""""), "" "")",,,,,
metadata,part ID,"//tei:provenance/string-join((ancestor::tei:msPart|ancestor::tei:msDesc)[last()]/@xml:id, "" "")",,,,,
metadata,part type,"//tei:provenance/string-join((ancestor::tei:msPart|ancestor::tei:msDesc)[last()]/@type, "" "")",,,,,
overview,provenance,"//tei:provenance/normalize-space(string-join(., """"))",,,,,
overview,type,"//tei:provenance/string-join(@type, "" "")",,,,,
dates,notAfter,"//tei:provenance/string-join(@notAfter, "" "")",,,,,
dates,notBefore,"//tei:provenance/string-join(@notBefore, "" "")",,,,,
dates,from,"//tei:provenance/string-join(@from, "" "")",,,,,
dates,to,"//tei:provenance/string-join((@to|@from)[last()], "" "")",,,,,
associated people,author name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""aut"") or contains(@role, ""auth"")]/string-join(., """"), ""; ""))",,,,,
associated people,author ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""aut"") or contains(@role, ""auth"")]/@key), "" "")",,,,,
associated people,scribe name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""scr"")]/string-join(., """"), ""; ""))",,,,,
associated people,scribe ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""scr"")]/@key), "" "")",,,,,
associated people,signer name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""sgn"")]/string-join(., """"), ""; ""))",,,,,
associated people,signer ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""sgn"")]/@key), "" "")",,,,,
associated people,annotator name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""ann"")]/string-join(., """"), ""; ""))",,,,,
associated people,annotator ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""ann"")]/@key), "" "")",,,,,
associated people,artist name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""art"")]/string-join(., """"), ""; ""))",,,,,
associated people,artist ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""art"")]/@key), "" "")",,,,,
associated people,patron name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""pat"")]/string-join(., """"), ""; ""))",,,,,
associated people,patron ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""pat"")]/@key), "" "")",,,,,
associated people,binder name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""bnd"")]/string-join(., """"), ""; ""))",,,,,
associated people,binder ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""bnd"")]/@key), "" "")",,,,,
associated people,former owner name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""fmo"")]/string-join(., """"), ""; ""))",,,,,
associated people,former owner ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""fmo"")]/@key), "" "")",,,,,
associated people,donor name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""dnr"")]/string-join(., """"), ""; ""))",,,,,
associated people,donor ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""dnr"")]/@key), "" "")",,,,,
associated people,bookseller name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[contains(@role,""bsl"")]/string-join(., """"), ""; ""))",,,,,
associated people,bookseller ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[contains(@role,""bsl"")]/@key), "" "")",,,,,
associated people,other person name(s),"//tei:provenance/normalize-space(string-join(.//tei:persName[not(@role)]/string-join(., """"), ""; ""))",,,,,
associated people,other person ID(s),"//tei:provenance/string-join(distinct-values(.//tei:persName[not(@role)]/@key), "" "")",,,,,
